Current_Partner,Former_Partner,When_Relationship_Start,When_Relationship_end,Relationship_end_Since,Reason_Relationship_end,Reason_Relationship_end_misc,Relationship_Problem_end_time,Relationship_Status,Relationship_Status_misc,Years_With_Partner,Number_Children,Age_Children,Youngest_Age_Children,Oldest_Age_Children,Highest_Education_Completed,Education_Impacted_By_Partner,Both_Physician_or_Student,Stay_at_home_parent,Small_Business_Owner,Contractor_Freelancer,Part_time_employment_<30_hours,Full_Time_Employment_30<,Volunteer,Student,Unemployed_looking_work,Work_Misc,Career_Impact_Partner,Life_Satisfaction,Stress_Factor_Lack_Time,Stress_Factor_Business,Stress_Factor_Work_Overload,Stress_Factor_Work_Issues_Home,Primary_Cause_Stress,Primary_Cause_Stress_misc,Family_Quality_Life,Mental_QoL,Physical_QoL,Emotional_QoL,Sexual_QoL,Overall_QoL,Time_Alone_Partner,Quality_Time_Partner,Partner_Tired_After,Partner_Irritable_After,Partner_Busy_Work_After,Partner_Work_No_Participation,Partner_Argue_Work_Time,Partner_Participant_Household_Activities,Pride_Medical_Family,Partner_Show_Appreciation,Sacrificses_Worthwhile,Partner_Time_Children,Children_3_Concerns,Children_Health_Conditions,Children_Mental_Conditions,Children_Discipline,Children_Effective_Comunication,Childreen_Screentime,Children_Academic_Performance,Children_Entitlement,Children_Friends,Children_Bullying,Children_Substances,Children_Self_Esteem,Children_Nutrition,Children_Sleep,Children_Physical_Image,Children_Extracurricular,Children_Body_Image,Children_Other,Community_Left_Out,Community_Unknwon,Community_Isolated,Community_Detached,Fullfilment_Individual,Fulfillment_as_Partner,Fulfillment_as_Parent,7_Days_Sleep_Quality,7_Days_Sleep_Refresh,7_Day_Sleep_Problem,7_Day_Problem_Fall_Asleep,Time_Moderate_Exercise,Time_Vigorous_Exercise,Time_Strength_Training,Frequency_Engage_Hobbies,Frequency_Relaxation_Techniques,Frequency_Draw_Religion,Frequency_Worship_Services,Participate_Counseling,Participate_Counseling_if_Problem,Participate_Individual_Counseling,Participate_Family_Counseling,Participate_Marriage_Enrichment,Participate_Physiciatric_Care,Participate_Support_Groups,Participate_Stress_Management,Participate_Addiction_Program,Participate_Life_Coaching,Participate_Pastoral,Participate_Support_Groups,Household_Annual_Salary,Household_Loan_End_Residency,Household_Loan_Current,Years_Post_residemcu,Alternative_Income,Education_Current_You,Satisfaction_Financial_Life,Frequency_Finance_Conflict,Frequency_Financial_Decision,Frequency_Savings_Decision,Frequency_Investment_Decision,Hours_Partner_Work,At_Call_Days_Per_Month,What is your physician partner's primary practice setting?,Number_Hospitals_Hired_Cumulative,Partner_Specialty,Partner_Specialty_Misc,Partner_Surgical_Specialty,Partner_Surgical_Specialty_Misc,Week_Vacation_Year,Frequency_Medical_Conference_Together,Frequency_Alone_Travel,Opinion_Workplace_Family_Supportive,Opinion_Workplace_Family_Supportive_Misc,Opinion_Partner_More_Effort,Opinion_Partner_More_Effort_Misc,Frequency_Thought_Breakup,Choose_Physician_Again,Choose_Partner_Again,Recommend_Physician_Career_Family,Age,Gender,Gender_Misc,Partner_Gender,Partner_Gender_Misc,Region_Country,Region_Other
Yes,,,,,,,,Married,,>20 years,3,,11,19,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,Volunteer,,,,Positively,85,Very stressful,Somewhat stressful,Very stressful,Very stressful,lack of time,,85,75,90,75,80,80,61-90 minutes,46-60 minutes,Every day,A few times a week,Every day,Frequently,Sometimes,Rarely,Always,Sometimes,Always,20-44 minutes,,,mental and emotional needs,,,,academic performance,,,,,,,,,,,Safety ,Usually,Usually,Always,Sometimes,Somewhat unfulfilled,Somewhat unfulfilled,Very fulfilled,fair,somewhat,a little bit,a little bit,121-150 minutes per week,121-150 minutes per week,three times per week,Seldom,Seldom,Seldom,Seldom,I never have.,Would probably not go,,,,,,,,,,,$500K-$599K,$0 ,$0 ,16-20 years,Yes,,Satisfied,Never,Sometimes,My spouse/partner does.,My spouse/partner does.,>90 hours,7+,Hospital/Multi-physician group,3,surgical specialty,,Other (please specify),Trauma surgery,2 weeks,Never,Never,Disagree,,Strongly agree,More consideration should be given to individual family situations. ,0,Maybe,Yes,No,44,Female,Woman,Male,Man,Northeast,
Yes,,,,,,,,Married,,>20 years,1,19,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Positively,91,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,Neither stressful or not stressful,aging parents,,75,86,90,89,72,90,91-120 minutes,21-45 minutes,A few times a month,A few times a week,A few times a week,Frequently,Rarely,Always,Sometimes,Always,Frequently,0-19 minutes,,,,,,,academic performance,entitlement,,,,self-esteem/confidence,,,,,,,Rarely,Never,Never,Rarely,Very fulfilled,Very fulfilled,Somewhat fulfilled,good,somewhat,somewhat,not at all,61-120 minutes per week,>150 minutes per week (e.g. 2 1/2 hrs),three times per week,Daily,Seldom,Never,Never,I never have.,Would probably go,,,,,,,,,,,$300K-$399K,$0 ,$0 ,21-25 years,Yes,,Satisfied,Never,Rarely,I do.,I do.,50-59 hrs,7+,Hospital/Multi-physician group,4+,neurology,,,,2 weeks,Never,Every other year,Neither agree nor disagree,,Disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,2,,2,8,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Negatively,37,Very stressful,Neither stressful or not stressful,Very stressful,Very stressful,household management,,100,56,31,35,42,46,21-45 minutes,<20 minutes,Every day,A few times a month,A few times a week,Always,Sometimes,Rarely,Rarely,Rarely,Never,20-44 minutes,,,mental and emotional needs,,,,,,,bullying,,,nutrition/diet,,,,,,Sometimes,Sometimes,Usually,Sometimes,Somewhat unfulfilled,Not fulfilled at all,Somewhat fulfilled,fair,a little bit,a little bit,somewhat,<30 minutes per week,<30 minutes per week,none,2-3 times per month,Seldom,Never,Never,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$50K-$99K,$1-$99K,$1-$99K,0,No,3rd year residency (PGY3),Dissatisfied,Usually,Always,,,80-89 hrs,4,"Not in practice, resident",0,family medicine,,,,3 weeks,Rarely,Never,Disagree,,Agree,Allowance to take leave after the birth of a new baby,55,No,No,No,44,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,4,,5,14,"Bachelor's degree (e.g. BA, BS)",Negatively,,,,,Yes,Yes,,,,,Not at all,67,Very stressful,Very stressful,Very stressful,Very stressful,household management,,86,63,76,69,30,80,<20 minutes,<20 minutes,A few times a week,Once a week,A few times a week,Sometimes,Sometimes,Frequently,Always,Sometimes,Frequently,20-44 minutes,,,,,,,academic performance,,,,,,,sleep habits,,extra-curricular activities,,,Usually,Rarely,Rarely,Rarely,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,fair,somewhat,a little bit,not at all,<30 minutes per week,<30 minutes per week,none,Daily,Monthly,Seldom,Never,I never have.,Would definitely go,,,,,,,,,,,$100K-$199K,$0 ,$0 ,11-15 years,No,,Neither satisfied nor dissatisfied,Rarely,Always,,,70-79 hrs,3,Private practice,1,family medicine,,,,4 weeks,Sometimes,Yearly,Neither agree nor disagree,,Agree,,45,Maybe,Yes,Yes,40,Male,Man,Female,Woman,Midwest,
Yes,,,,,,,,Married,,>20 years,5+,,25,35,"Bachelor's degree (e.g. BA, BS)",Negatively,,,,,,Yes,,,,,Positively,85,Somewhat stressful,Somewhat stressful,Somewhat stressful,Neither stressful or not stressful,balancing my career with a physician partner,,94,90,90,75,25,85,91-120 minutes,21-45 minutes,Every day,A few times a week,A few times a week,Frequently,Rarely,Sometimes,Frequently,Never,Sometimes,20-44 minutes,,,mental and emotional needs,,effective communication,,,,,,,,,,physical activity,,,"Our kids are grown, so while many of these were concerns when they were young, they are less so no",Never,Never,Rarely,Sometimes,Very fulfilled,Neither unfulfilled or fulfilled,Very fulfilled,good,quite a bit,not at all,not at all,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,once per week,2-3 times per month,Weekly,3-5 times per week,Monthly,I never have.,Would probably go,,,,,,,,,,,$800K+,$200K-$299K,$0 ,26-30 years,Yes,,Very satisfied,Rarely,Usually,,,80-89 hrs,7+,Hospital/Multi-physician group,2,internal medicine or related specialty,,,,6 weeks,Usually,Several times a year,Neither agree nor disagree,,Strongly agree,"Support with record keeping: Charting is now all done at home - usually 2-3 hrs after full 10-12 hr work day.  More flexibility with scheduling time off and work rotations.  More comraderie, as it used to be before mergers and practice acquisitions. ",15,Yes,Yes,Yes,,Female,Prefer to self-describe below,Male,,Midwest,
Yes,,,,,,,,Married,,11-20 years,1,5,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Negatively,90,Somewhat not stressful,Somewhat stressful,Very stressful,Very stressful,parenting young children,,74,79,90,85,85,85,>120 minutes,>120 minutes,A few times a year or less,Every day,A few times a week,Frequently,Never,Sometimes,Rarely,Rarely,Sometimes,45-59 minutes,,,,,,,academic performance,entitlement,,,,,,sleep habits,,,,,Never,Never,Never,Never,Very fulfilled,Somewhat fulfilled,Somewhat fulfilled,fair,somewhat,very much,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,none,Seldom,Seldom,Never,Never,I never have.,Would definitely go,,,,,,,,,,,$600K-$699K,$200K-$299K,$1-$99K,1-5 years,Yes,,Satisfied,Never,Always,,,50-59 hrs,0,Other (please specify),1,radiation oncology,,,,3 weeks,Sometimes,Never,Disagree,,Strongly agree,Not scheduling faculty meetings at 6pm,0,Maybe,Yes,No,,,,,,,
No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,2,,4,6,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,Yes,,Volunteer,,,,Negatively,60,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,isolation from friends and family,,75,37,53,30,61,51,46-60 minutes,21-45 minutes,Once a week,A few times a month,A few times a month,Sometimes,Rarely,Always,Sometimes,Frequently,Sometimes,60-89 minutes,,,mental and emotional needs,discipline/behavior,,,academic performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,3,,7,10,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,Volunteer,,,,Negatively,10,Neither stressful or not stressful,Not stressful at all,Neither stressful or not stressful,Somewhat stressful,parenting young children,,80,80,93,88,100,90,46-60 minutes,>120 minutes,A few times a week,A few times a week,A few times a week,Sometimes,Never,Rarely,Sometimes,Always,Always,60-89 minutes,,,mental and emotional needs,discipline/behavior,,,academic performance,,,,,,,,,,,,Rarely,Usually,Rarely,Sometimes,Very fulfilled,Very fulfilled,Very fulfilled,fair,somewhat,somewhat,not at all,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,none,Daily,Never,Never,Never,"Yes, several times a year.",Would definitely go,,Marriage or family counseling,,,,,,,,,$300K-$399K,$200K-$299K,$0 ,1-5 years,No,,Neither satisfied nor dissatisfied,Never,Always,,,50-59 hrs,3,Veteran's hospital,2,anesthesiology,,,,5 weeks,Never,Every few years,Agree,Some flex in scheduling. Set 4 day work week. ,Neither agree nor disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,3,,1 month,6,"Doctorate degree (e.g. PhD, EdD)",Positively,,,,,,Yes,,,,,Negatively,99,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,lack of time,,77,86,66,71,75,76,91-120 minutes,<20 minutes,A few times a week,Once a week,Every day,Frequently,Rarely,Sometimes,Sometimes,Frequently,Frequently,20-44 minutes,,,mental and emotional needs,,effective communication,,,,,,,,nutrition/diet,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,good,quite a bit,not at all,not at all,<30 minutes per week,<30 minutes per week,none,Monthly,Seldom,Weekly,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,,,$200K-$299K,$300K-$399K,$300K-$399K,11-15 years,No,,Satisfied,Sometimes,Usually,,,70-79 hrs,5,Hospital/Multi-physician group,1,surgical specialty,,General,,3 weeks,Rarely,Yearly,Neither agree nor disagree,,Agree,Paternity leave (>2 weeks) that does not involve the use of Pto/sick leave,,Yes,Yes,Maybe,36,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,4,,6,13,"Associate degree (e.g. AA, AS)",Negatively,,,,,Yes,,,,,,Negatively,83,Somewhat stressful,Very stressful,Somewhat stressful,Very stressful,household management,,79,48,68,73,83,77,21-45 minutes,46-60 minutes,Every day,A few times a week,A few times a week,Sometimes,Sometimes,Never,Rarely,Frequently,Frequently,0-19 minutes,,,mental and emotional needs,,effective communication,,academic performance,,,,,,,,,,,,Rarely,Usually,Rarely,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,good,a little bit,somewhat,not at all,30-60 minutes per week,<30 minutes per week,once per week,Weekly,Seldom,Daily,2-3 times per month,"Yes, I did in the past.",Would probably not go,,Marriage or family counseling,,,,,,,Pastoral,,$400K-$499K,$300K-$399K,$200K-$299K,1-5 years,No,,Neither satisfied nor dissatisfied,Sometimes,Usually,,,40-49 hrs,2,Private practice,1,Other (please specify),Orthopedic ,,,1 week,Never,Every other year,Neither agree nor disagree,,Neither agree nor disagree,,,,,,38,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,>20 years,3,,23,32,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,Negatively,48,Somewhat stressful,Somewhat stressful,Somewhat stressful,Very stressful,balancing my career with a physician partner,,44,44,47,45,34,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,2,,7,10,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,Volunteer,Student,,,Negatively,77,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,parenting young children,,65,77,95,69,65,75,21-45 minutes,46-60 minutes,A few times a week,A few times a month,A few times a week,Sometimes,Rarely,Sometimes,Sometimes,Frequently,Frequently,20-44 minutes,,,mental and emotional needs,discipline/behavior,,,,entitlement,,,,,,,,,,,Rarely,Sometimes,Sometimes,Rarely,Very fulfilled,Somewhat fulfilled,Somewhat fulfilled,good,quite a bit,a little bit,not at all,>150 minutes per week (e.g. 2 1/2 hrs),>150 minutes per week (e.g. 2 1/2 hrs),twice per week,Weekly,Weekly,Daily,Weekly,"Yes, several times a year.",Would probably go,Individual counseling or therapy,,,,,,,,Pastoral,,$400K-$499K,$300K-$399K,$0 ,1-5 years,No,,Very satisfied,Rarely,Always,,,50-59 hrs,4,Private practice,1,Other (please specify),Nephrology,,,6 weeks,Never,Yearly,Agree,"All the partners have large families and generally make decisions that favor more time at home vs making more money, but they are still extremely busy.",Neither agree nor disagree,,,,,,36,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,6-10 years,3,,1 month,5 years,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,Yes,,Yes,,,,,,Negatively,85,Somewhat stressful,Somewhat stressful,Somewhat stressful,Not stressful at all,finances,,80,80,80,75,75,80,61-90 minutes,21-45 minutes,A few times a month,A few times a year or less,Never,Frequently,Sometimes,Always,Frequently,Always,Frequently,45-59 minutes,,,mental and emotional needs,discipline/behavior,effective communication,,,,,,,,,,,,,,Sometimes,Rarely,Rarely,Rarely,Very fulfilled,Very fulfilled,Somewhat fulfilled,good,quite a bit,somewhat,not at all,30-60 minutes per week,<30 minutes per week,none,Monthly,Never,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$50K-$99K,$200K-$299K,$200K-$299K,1-5 years,No,,Very dissatisfied,Rarely,Sometimes,I do.,I do.,60-69 hrs,2,"Not in practice, resident",0,pediatrics or related specialty,,,,3 weeks,Never,Every other year,Agree,"Itâ€™s more that the fellow residents understand my husband has more responsibility at home and the program invites families to some of the resident events. Other than that, we feel pretty well supported by our other community. ",Neither agree nor disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,2,,1,4,"Master's degree (e.g. MA, MS, Med)",Positively,,Yes,,,Yes,,,,,,Positively,85,Somewhat stressful,Somewhat not stressful,Very stressful,Very stressful,parenting young children,,86,95,89,89,97,92,>120 minutes,91-120 minutes,Once a month or less,A few times a week,Every day,Frequently,Frequently,Always,Always,Always,Frequently,45-59 minutes,,,,discipline/behavior,,,,,,,,,,sleep habits,physical activity,,,,Sometimes,Sometimes,Sometimes,Sometimes,Very fulfilled,Very fulfilled,Very fulfilled,good,quite a bit,somewhat,quite a bit,121-150 minutes per week,30-60 minutes per week,twice per week,3-5 times per week,Weekly,Daily,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,Stress management,,,,,$100K-$199K,$100K-$199K,$100K-$199K,0,Yes,4th year residency (PGY4),Very satisfied,Rarely,Always,,,>90 hours,2,Hospital/Multi-physician group,0,emergency medicine,,,,1 week,Rarely,Never,Neither agree nor disagree,,Strongly agree,"Consideration with outside activities to involve families. Or processes involved especially for parents to minimize the amount of work that is not directly related or required (I.e. speaking at didactics multiple times a month, planning EMS events, etc.)",0,Yes,Yes,Maybe,30,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,11-20 years,3,,9,14,"Bachelor's degree (e.g. BA, BS)",Negatively,,,,,Yes,,,,,,Positively,,Somewhat stressful,Not stressful at all,Very stressful,Somewhat stressful,balancing my career with a physician partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,4,,1,8,"Bachelor's degree (e.g. BA, BS)",Positively,,Yes,,,Yes,,,,,,Negatively,73,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,lack of time,,71,75,75,75,70,75,46-60 minutes,46-60 minutes,Every day,A few times a month,Once a week,Frequently,Rarely,Sometimes,Frequently,Frequently,Frequently,20-44 minutes,,,,discipline/behavior,effective communication,,,,,,,,,,,extra-curricular activities,,,Sometimes,Sometimes,Sometimes,Sometimes,Very fulfilled,Somewhat fulfilled,Very fulfilled,fair,somewhat,quite a bit,somewhat,61-120 minutes per week,30-60 minutes per week,twice per week,Weekly,Weekly,Daily,Weekly,"Yes, weekly or more often",Would probably go,Individual counseling or therapy,,,,,,,,,,$50K-$99K,$400K-$499K,$400K-$499K,0,No,3rd year residency (PGY3),Satisfied,Sometimes,Sometimes,I do.,My spouse/partner does.,60-69 hrs,3,"Not in practice, resident",0,emergency medicine,,,,2 weeks,Never,Yearly,Agree,The other resident are great at supporting each other when life happens ,Agree,,,Yes,Yes,Maybe,31,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,6-10 years,1,4.5 months,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,,,,,Not at all,75,Neither stressful or not stressful,Somewhat not stressful,Somewhat stressful,Neither stressful or not stressful,household management,,100,75,50,75,25,90,46-60 minutes,<20 minutes,A few times a week,A few times a month,Never,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,20-44 minutes,,,mental and emotional needs,,,screen time,,,,,,,,sleep habits,,,,,Sometimes,Sometimes,Rarely,Usually,Neither unfulfilled or fulfilled,Somewhat fulfilled,Somewhat fulfilled,very poor,not at all,somewhat,quite a bit,61-120 minutes per week,<30 minutes per week,none,Seldom,Monthly,Daily,Seldom,I never have.,Would definitely go,,,,,,,,,,,$50K-$99K,$300K-$399K,$300K-$399K,0,No,Intern (PGY1),Neither satisfied nor dissatisfied,Sometimes,Usually,,,80-89 hrs,4,"Not in practice, resident",0,family medicine,,,,3 weeks,Never,Yearly,Strongly agree,They have family game nights and events like pumpkin carving. They also threw me a baby shower.,Agree,Although they do better than some programs at including SOâ€™s I think there is still some room for improvement. For example they had a resident retreat that family were invited to however a part of that was a dinner show that family were not invited to.,0,Yes,Yes,Maybe,32,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,>20 years,4,,4,20,"Professional degree (e.g. JD, MD, DO, MBBS)",Positively,Yes,Yes,,,,,,,,,Positively,98,Not stressful at all,Not stressful at all,Not stressful at all,Not stressful at all,aging parents,,97,98,81,97,81,96,>120 minutes,61-90 minutes,Never,Never,Never,Rarely,Never,Always,Always,Always,Always,90+ minutes,not applicable,,,,,,,,,,,,,,,,,,Never,Never,Never,Never,Very fulfilled,Very fulfilled,Very fulfilled,good,somewhat,somewhat,a little bit,<30 minutes per week,<30 minutes per week,none,3-5 times per week,3-5 times per week,Daily,Weekly,I never have.,Would probably not go,,,,,,,,,,,$200K-$299K,$1-$99K,$0 ,21-25 years,No,,Very satisfied,Never,Always,,,40-49 hrs,0,Hospital/Multi-physician group,3,emergency medicine,,,,4 weeks,Sometimes,Every few years,Agree,,Neither agree nor disagree,,,,,,50,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,6-10 years,3,,1,5,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,41,Somewhat stressful,Somewhat not stressful,Somewhat stressful,Somewhat stressful,isolation from friends and family,,75,65,65,80,60,65,<20 minutes,61-90 minutes,A few times a month,Once a month or less,Once a week,Sometimes,Never,Frequently,Always,Frequently,Always,20-44 minutes,,,,discipline/behavior,,screen time,,,,,,,nutrition/diet,,,,,,Usually,Always,Always,Always,Somewhat unfulfilled,Neither unfulfilled or fulfilled,Somewhat fulfilled,good,somewhat,a little bit,not at all,61-120 minutes per week,121-150 minutes per week,twice per week,Seldom,Seldom,Never,Never,I never have.,Would probably go,,,,,,,,,,,$500K-$599K,$500K+,$500K+,1-5 years,No,,Neither satisfied nor dissatisfied,Rarely,Usually,,,80-89 hrs,0,Hospital/Multi-physician group,1,internal medicine or related specialty,,,,0,Never,Every few years,Agree,Pretty good about adjusting and accommodating schedules for family and life needs ,Neither agree nor disagree,,,,,,39,Female,Woman,Male,Man,Pacific,
Yes,,,,,,,,Married,,1-5 years,0,,,,"Master's degree (e.g. MA, MS, Med)",Negatively,,,,,,Yes,,,,,Negatively,95,Somewhat not stressful,Not stressful at all,Somewhat stressful,Somewhat stressful,lack of time,,95,83,67,82,92,83,61-90 minutes,91-120 minutes,Once a month or less,A few times a month,A few times a week,Sometimes,Rarely,Always,Frequently,Sometimes,Frequently,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Very fulfilled,,good,quite a bit,a little bit,not at all,121-150 minutes per week,61-120 minutes per week,twice per week,2-3 times per month,2-3 times per month,Daily,Weekly,"Yes, 1-2 times each month.",Would probably go,,Marriage or family counseling,,,Support group,,,,,,$50K-$99K,$300K-$399K,$300K-$399K,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,4,,1,10,"Professional degree (e.g. JD, MD, DO, MBBS)",Not at all,No,Yes,,,,,,,,,Negatively,76,Somewhat stressful,Neither stressful or not stressful,Neither stressful or not stressful,Somewhat not stressful,parenting young children,,91,69,65,75,59,82,61-90 minutes,46-60 minutes,Once a week,Once a month or less,A few times a week,Frequently,Never,Sometimes,Sometimes,Frequently,Frequently,20-44 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,self-esteem/confidence,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,good,somewhat,a little bit,not at all,30-60 minutes per week,30-60 minutes per week,twice per week,Seldom,Seldom,2-3 times per month,2-3 times per month,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$600K-$699K,$400K-$499K,$0 ,6-10 years,Yes,,Satisfied,Rarely,Always,,,50-59 hrs,0,Hospital/Multi-physician group,2,emergency medicine,,,,> 7 weeks,Rarely,Every other year,Neither agree nor disagree,,Agree,More family friendly gatherings. I feel like it's good for colleagues to see each other with their families. It's easier to ask for help with shifts if you know them in the context of their family unit.,,Yes,Yes,Maybe,37,Female,Woman,Male,Man,Other (please specify),Texas :)
Yes,,,,,,,,Married,,>20 years,4,,15,23,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,Yes,,,,Volunteer,,,,Not at all,95,Somewhat stressful,Somewhat stressful,Neither stressful or not stressful,Neither stressful or not stressful,household management,,95,95,95,95,80,90,21-45 minutes,>120 minutes,Once a week,A few times a month,A few times a week,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,45-59 minutes,,medical/health conditions,mental and emotional needs,,,,academic performance,,,,,,,,,,,,Sometimes,Sometimes,Sometimes,Rarely,Very fulfilled,Very fulfilled,Very fulfilled,good,somewhat,somewhat,somewhat,121-150 minutes per week,121-150 minutes per week,twice per week,3-5 times per week,3-5 times per week,3-5 times per week,2-3 times per month,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$600K-$699K,$0 ,$0 ,16-20 years,Yes,,Very satisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,70-79 hrs,2,Hospital/Multi-physician group,1,surgical specialty,,General,,5 weeks,Sometimes,Yearly,Agree,â€”,Neither agree nor disagree,,,,,,,,,,,,
